material_id,formula_pretty,nsites,crystal_system,formation_energy_per_atom
mp-774814,Li3Mn2V3O12,80,P2_1/c,-2.302056938
mp-769530,Li3Mn4(FeO6)2,42,P-1,-1.983850388
mp-849955,Li3Mn5(FeO6)2,66,P1,-1.939473421
mp-774685,Li3Mn5FeO12,42,C2/c,-2.023431468
mp-1666401,Li3MnV4O12,40,C2,-2.377219737
mp-1177650,Li4Co2Ni5O12,69,P1,-1.410386276
mp-1641824,Li4Co5NiO12,44,C2/m,-1.468007365
mp-760844,Li4Mn2V3O12,84,P2_1/c,-2.344702154
mp-759274,Li4Mn2V5O12,46,P2_1,-2.350652941
mp-1177555,Li4Mn5(Fe2O9)2,62,Pm,-1.844407576
mp-759127,Li4Mn5(FeO6)2,46,P2_1,-1.99987616
mp-767370,Li4Ti2Mn3(Fe2O9)2,62,Pbam,-2.168311136
mp-774494,Li4Ti2Mn4(FeO6)3,62,Pbam,-2.18370315
mp-1177270,Li4Ti3Mn2(Fe2O9)2,62,Pmc2_1,-2.320213111
mp-774626,Li4Ti3Mn4(FeO9)2,62,Pmc2_1,-2.386982653
mp-767373,Li4Ti4Mn(Fe2O9)2,62,Pbam,-2.477002443
mp-774578,Li4Ti4Mn4FeO18,62,Pbam,-2.563060544
mp-766883,Li4Ti4Mn4VO18,62,Pbam,-2.657494978
mp-755607,Li5Co2Ni3O10,40,P-1,-1.600919093
mp-755076,Li5Co3(NiO5)2,40,P-1,-1.559328204
mp-760155,Li5Co4(NiO6)2,69,P1,-1.518505068
mp-775411,Li5Mn2Fe17O32,56,P1,-1.757577912
mp-755514,Li5Mn2Fe3O10,40,P-1,-2.001909186
mp-754473,Li5Mn2V3O10,40,P-1,-2.320868929
mp-756863,Li5Mn3V2O10,40,P-1,-2.294880366
mp-775954,Li5Mn7Fe3O20,70,C2/m,-1.928642258
mp-771896,Li5Mn8Fe11O32,56,Cm,-1.858616889
mp-764142,Li5MnV3O8,68,P4_332,-2.296890381
mp-1176867,Li8CoNi9O20,76,Pm,-1.396816837
mp-771651,Li8Mn13Fe3O32,56,P-1,-2.018988343
mp-831248,Li9Mn7V12O48,76,P1,-2.21142653
mp-760848,Li10Fe3Co7O20,40,P2/m,-1.789790542
mp-770651,Li10Fe9CoO20,40,P2/m,-1.917774059
mp-764262,Li10FeCo9O20,40,P1,-1.719829428
