,battery_formula,battery_id,charge_id,discharge_id
286,Li0-4V3Cr3(TeO8)2,mp-753297_Li,mp-763835,mp-769563
287,Li1-8VCo3(PO4)6,mp-760152_Li,mp-768928,mp-760152
288,Li0-4Ti3Cr3(SbO8)2,mp-758653_Li,mp-770891,mp-758653
289,Li0-2Mn(CO3)2,mp-752632_Li,mp-762239,mp-765989
290,Li0-1TiV2CrO10,mp-773510_Li,mp-773510,mp-1236317
291,Li0-4V3Cr3(SbO8)2,mp-776536_Li,mp-776536,mp-776595
292,Li0.5-2Co(CO3)2,mp-758124_Li,mp-758717,mp-759781
293,Li0-4V3Cr3(WO8)2,mp-756412_Li,mp-775969,mp-756412
294,Li0.5-1V(CO3)2,mp-758080_Li,mp-758669,mp-758080
295,Li0.67-1.33V(CO3)2,mp-758087_Li,mp-758280,mp-758087
296,Li1-2MnPCO7,mp-768699_Li,mp-770237,mp-768948
297,Li0-1VCrP2(O4F)2,mp-1386918_Li,mp-1391114,mp-1386918
298,Li0-3CrF6,mp-1111688_Li,mp-1391848,mp-1111688
299,Li3-4Cr3CuO8,mp-756558_Li,mp-768828,mp-756558
300,Li6-7CrFe3(PO4)6,mp-760796_Li,mp-766014,mp-760796
301,Li0-1V(CO3)2,mp-752541_Li,mp-752541,mp-762019
302,Li2-4Cr2P4H3O16,mp-756092_Li,mp-763238,mp-756092
303,Li0-2Cr3TeO8,mp-770187_Li,mp-770187,mp-778197
304,Li0-4MnCo3(PO4)4,mp-757104_Li,mp-775179,mp-757104
305,Li0-1VCrP2(O4F)2,mp-801251_Li,mp-801251,mp-861525
306,Li0-3Ti(CoO3)2,mp-753158_Li,mp-753158,mp-771220
307,Li0-2Cr(CoO3)2,mp-755124_Li,mp-755124,mp-757009
308,Li0-2V(CO3)2,mp-753598_Li,mp-762249,mp-1567493
309,Li0-2Co3(SeO3)4,mp-562404_Li,mp-775276,mp-562404
310,Li1-2.5FePCO7,mp-768593_Li,mp-768629,mp-768862
311,Li0-6Mn3Co(PO4)6,mp-757859_Li,mp-757859,mp-1177025
312,Li0-2Cr3Ni(SO4)6,mp-766088_Li,mp-774914,mp-772134
313,Li0-4Co3Sn(PO4)4,mp-757004_Li,mp-775131,mp-757004
314,Li2-3V(CO3)3,mp-758041_Li,mp-758564,mp-758041
315,Li0-4Mn3Nb2Cr3O16,mp-756399_Li,mp-771853,mp-756399
316,Li0.5-2V(CO3)2,mp-758175_Li,mp-758175,mp-760222
317,Li0-4Mn2CrNi3(PO4)6,mp-760233_Li,mp-760233,mp-775171
318,Li0-2Co3SbO8,mp-757530_Li,mp-757530,mp-757930
319,Li0-2Cr3(CuO6)2,mp-772337_Li,mp-772337,mp-1178040
320,Li0-4Mn3Cr2Sb3O16,mp-754681_Li,mp-754681,mp-761171
321,Li0-6NbCr3(PO4)6,mp-758746_Li,mp-780614,mp-758746
322,Li0-4Ti2Mn3Cr3O16,mp-770152_Li,mp-771173,mp-770152
323,Li0-2MnCr(PO4)2,mp-757355_Li,mp-775016,mp-757355
324,Li0-6Mn3Cr(PO4)6,mp-771092_Li,mp-771880,mp-771092
325,Li1-2FePCO7,mp-768624_Li,mp-1176696,mp-768624
326,Li1-2FePCO7,mp-768471_Li,mp-768562,mp-768471
327,Li0-4VCr2Ni3(PO4)6,mp-780465_Li,mp-780465,mp-1177231
328,Li0-4Mn3V2Cr3O16,mp-754762_Li,mp-773144,mp-770036
329,Li4-1Mn2V3Cr3O16,mp-760787_Li,mp-773000,mp-760787
330,Li0-3Cr,mp-8633_Li,mp-8633,mp-1185185
331,Li3-4Cr3GaO8,mp-768641_Li,mp-768641,mp-768872
332,Li0-2CrNi(PO4)2,mp-757714_Li,mp-775333,mp-757714
333,Li0-4Mn3Cr3(WO8)2,mp-755961_Li,mp-755961,mp-776267
334,Li0-2CrPO4F,mp-25391_Li,mp-755075,mp-25391
335,Li0-4Ti3Mn3Cr2O16,mp-756780_Li,mp-756780,mp-771394
336,Li0-2Co2(CO3)3,mp-752772_Li,mp-752772,mp-757737
337,Li0-1CoS2,mp-1097024_Li,mp-1390701,mp-1176776
338,Li0-4Mn2Cr3Sb3O16,mp-766080_Li,mp-1176495,mp-766080
339,Li3-4CrF6,mp-561396_Li,mp-561396,mp-850914
340,Li0-4Mn3NbCr2(PO4)6,mp-775967_Li,mp-775967,mp-776566
341,Li0-0.25CrInO3,mp-756147_Li,mp-756147,mp-1236597
342,Li0-4Mn3Cr3(SbO8)2,mp-756838_Li,mp-756838,mp-774806
343,Li0-2Co(CO3)2,mp-753166_Li,mp-1202859,mp-753950
344,Li0-4Mn5Cr(PO4)6,mp-759645_Li,mp-771695,mp-759645
345,Li0-2Co2(SO4)3,mp-768456_Li,mp-1178458,mp-778578
346,Li0-3Ti6Co3O16,mp-758898_Li,mp-758898,mp-772982
347,Li0-1CrPO4F,mp-770575_Li,mp-770697,mp-770575
348,Li0-4TiCo3O8,mp-753061_Li,mp-1290660,mp-1297766
349,Li1-2CoSnO4,mp-753496_Li,mp-753496,mp-768412
350,Li0-2NbCo3O8,mp-757558_Li,mp-761589,mp-757558
351,Li1.5-2.5FePCO7,mp-768618_Li,mp-768618,mp-768672
352,Li0-2Cr3(CoO6)2,mp-772115_Li,mp-772720,mp-772115
353,Li0-2CrCo3O8,mp-765293_Li,mp-861562,mp-765293
354,Li0-2V(CO3)2,mp-757720_Li,mp-758621,mp-759519
355,Li0-2V4CrCuO12,mp-755828_Li,mp-756483,mp-755828
356,Li0-0.5EuCrO4,mp-22586_Li,mp-22586,mp-1235174
357,Li0-1Co2C2O7,mp-753266_Li,mp-753266,mp-758625
358,Li0-2Co(WO4)2,mp-25289_Li,mp-25290,mp-552307
359,Li2-4Cr3CoO8,mp-759061_Li,mp-763336,mp-1177445
